line,type,context,talking,talking_to,words,episode
799,dialogue,,onyeka,catherine,How do you feel like your time with Colton was?,1
800,dialogue,,catherine,onyeka,Too short.,1
801,dialogue,,onyeka,catherine,"Yeah. So I'm kind of catching wind from other girls, and just because you have stolen Colton three times already, it's definitely rubbing people people wrong way. I think it is almost a little desperate and I don't know if you haven't had, like, good conversations with him, but I think it's important that you let other girls take time with him.",1
802,dialogue,,catherine,onyeka,"I'm sorry if I stepped on their toes and I'm sorry if I insulted anyone or was too aggressive or I looked ""desperate,"" which is hilarious, by the way. But you know what I mean? He's my priority.",1
803,dialogue,,onyeka,catherine,"Colton is everyone's priority. I'm just saying, like, respect everyone.",1
804,dialogue,,catherine,onyeka,"I don't think that I hae disrespected anybody. My time with him was very short. I spoke with him probably 30 seconds the first time, maybe, like ‐‐",1
805,dialogue,,onyeka,catherine,It wasn't 30 seconds.,1
806,dialogue,,catherine,onyeka,"I know you think it was longer but it really wasn't longer than, like, 30 seconds or a minute.",1
807,dialogue,,onyeka,catherine,Okay.,1
808,sound,laughs,,,,1
809,dialogue,,catherine,onyeka,Don't laugh like that.,1
810,dialogue,,onyeka,catherine,"No, I mean, I know I took him from you and I waited a long time to make sure you, like, plenty of time to talk to him before I went and stole him.",1
811,dialogue,,catherine,onyeka,"I don't want to argue wh you. I am, like, the least argumentative person.",1
812,dialogue,,onyeka,catherine,"Yeah, no, definitely.",1
813,dialogue,,catherine,onyeka,I do not want any bad blood at all.,1
814,dialogue,,onyeka,catherine,"You don't want bad blood honestly, I am looking out for you at this point.",1
815,dialogue,,catherine,onyeka,"I get that, that is why I understand that people are upset that I talked to him a couple times and some people haven't.",1
816,dialogue,,onyeka,catherine,"I'm here to keep it real with you, with Colton, with everyone here.",1
817,dialogue,,catherine,onyeka,Cheers to that. Keeping it real.,1
818,dialogue,,onyeka,catherine,"Cheers to that. Honestly, I feel good about this conversation. I hope you do. I hope you know where ‐‐ how people feel.",1
819,dialogue,,catherine,onyeka,"If you don't have haters, you're not doing something right.",1
820,dialogue,,onyeka,catherine,Yeah. Haters.,1
821,dialogue,laughs,catherine,onyeka,,1
822,dialogue,,onyeka,catherine,Yep.,1
823,testimony,,onyeka,aside,I feel like the conversation went well.,1
824,dialogue,,catherine,onyeka,That was a good chat.,1
825,testimony,,onyeka,aside,"Even though she was a little defensive, I think I got through to her, and she won't be stealing Colton again.",1
826,dialogue,,catherine,onyeka,Thanks for letting me know.,1
827,dialogue,,???,women,There is a hug.,1
828,dialogue,,???,women,Hug it out.,1
829,dialogue,,tahzjuan,colton,So I got something for you.,1
830,dialogue,,colton,tahzjuan,"""find the silver lining""",1
831,dialogue,,tahzjuan,colton,"'cause it's really, really hard to be in this situation, having to make those really hard decisions ‐‐",1
832,dialogue,,catherine,colton,Excuse me. Hi. Can I have another few moments with you?,1
833,dialogue,,tahzjuan,catherine,"Oh. Um, okay.",1
834,dialogue,,catherine,colton,Good.,1
835,dialogue,,tahzjuan,colton,Thank you.,1
836,dialogue,,colton,tahzjuan,"Yeah, thank you.",1
837,dialogue,,catherine,colton,"Hi, again.",1
838,dialogue,,colton,catherine,How are you?,1
839,dialogue,,catherine,colton,Amazing. How are you doing?,1
840,dialogue,,colton,catherine,Fourth time's a charm.,1
841,dialogue,,catherine,colton,It is.,1
842,testimony,,tahzjuan,aside,"As I was walking away, Colton n was like, ""oh, fourth time's the charm."" and I was like, yeah, really? Really?",1
843,dialogue,,tahzjuan,women,So I was just talking to Colton.,1
844,dialogue,,???,women,"Yay! Okay. You go, girl.",1
845,dialogue,,tahzjuan,women,So that was great but I got interrupted ‐‐,1
846,dialogue,,???,tahzjuan,By who?,1
847,dialogue,,tahzjuan,women,What's her name? The one who brought the dog?,1
848,exclamation,,???,self,"Wait, wait, wait ‐‐",1
849,dialogue,,onyeka,tahzjuan,Catherine interrupted you?,1
850,dialogue,,tahzjuan,women,"I walked away and he said, ""fourth time's the charm.""",1
851,dialogue,,onyeka,tahzjuan,Four times?,1
852,dialogue,,courtney,women,That's unheard of.,1
853,dialogue,,onyeka,tahzjuan,I think everyone should get a chance to have time to talk to him. Everyone. So ‐‐ and I told her that.,1
854,testimony,,onyeka,aside,What the hell? I can't believe she stole Colton again. I thought we had a great conversation. We hugged it out afterwards everything. But obviously she doesn't care at all.,1
855,dialogue,,tahzjuan,women,"At the same time, it's a little excessive, for sure.",1
856,dialogue,,courtney,women,Not even a little excessive. Actually excessive.,1
857,testimony,,courtney,aside,It's really frustrating because I've been waiting patiently and being respectful to all the other girls to get my time and Catherine is being straight up rude.,1
858,dialogue,,courtney,women,How is it possible that someone could interrupt so many times and there are so many people who haven't had time?,1
859,testimony,,sydney,aside,A lot of girls haven't had time to talk to him yet. So they are starting to panic.,1
860,dialogue,,???,women,"Oh, my gosh. So nerve‐racking.",1
861,testimony,,sydney,aside,"Because you don't get time, you're probably going home.",1
862,dialogue,,colton,cassie,So tell me a little bit about yourself.,1
863,dialogue,,cassie,colton,"So, yeah. I live in Huntington Beach.",1
864,dialogue,,colton,cassie,Awesome.,1
865,dialogue,,cassie,colton,Yes. So I know a little bit of sign language. I use it a lot for work. So I thought I could teach you a few things.,1
866,dialogue,,colton,cassie,"Yeah, I'd really like that.",1
867,dialogue,laughs,cassie,colton,the first thing I was going to teach you.,1
868,dialogue,,colton,cassie,Goatee?,1
869,dialogue,,cassie,colton,"No, not a goatee. But I like your scruff. It is, ""you are cute.""",1
870,dialogue,,colton,cassie,What else you got?,1
871,dialogue,,cassie,colton,This is pretty fitting.,1
872,dialogue,,colton,cassie,"Rose. I can teach you ""kiss"" too, though.",1
873,dialogue,,cassie,colton,"What is ""kiss?"" so, that is ""kiss?""",1
874,dialogue,,colton,cassie,Put it on your mouth.,1
875,dialogue,,cassie,colton,"You don't have to put your hand back. You can have them, like, together.",1
876,dialogue,,colton,cassie,"Sorry. We are learning here, all right? So it would just be like that.",1
877,dialogue,,cassie,colton,You are doing good.,1
878,dialogue,,colton,cassie,I'm picking up what you're putting down. I got it.,1
879,testimony,,colton,aside,I can definitely say that I'm very smitten by some of the women here tonight. They are super sexy. And I already feel the spark right off the bat with a few of them.,1
880,dialogue,,katie,colton,So I am super close to my family. Are you?,1
881,dialogue,,colton,katie,Yes.,1
882,dialogue,,katie,colton,"Okay, good. That is a really big part my values.",1
883,dialogue,,colton,katie,"I like that, I like that. My immediate family is in Colorado and a lot of like my grandma, my aunts, my uncles, everybody, all my cousins are back in Illinois still.",1
884,dialogue,,katie,colton,"Oh, okay.",1
885,dialogue,,colton,katie,"I grew up with a lot of strong, independent women in my life.",1
886,dialogue,,katie,colton,I am really big on that.,1
887,dialogue,,colton,katie,"Oh, yeah. That is sort of what has le to know that's what I need and that's what I want.",1
888,dialogue,,katie,colton,Good.,1
889,dialogue,,colton,katie,I want somebody who knows what they want and they art afraid to say it.,1
890,dialogue,,katie,colton,Good. I do definitely believe whu say about independent womei definitely believe in havir own things separate and thn having our thing together.,1
891,dialogue,,colton,katie,Yep. Yeah. You have to have that balance. Life is all about balance. You have to have your own life.,1
892,dialogue,,katie,colton,Yeah.,1
893,dialogue,,katie,colton,"But that is sort of what falling and being in love s like, you are sharing your, your passions with somebody else.",1
894,dialogue,,katie,colton,I wanted to let you know I'm really excited that it is you.,1
895,dialogue,,katie,colton,"Well, I am happy you are too. That means the world to me.",1
896,dialogue,,katie,colton,Of course. It's going to be worth it.,1
897,dialogue,laughs,katie,colton,,1
898,dialogue,,katie,colton,I'm so excited that you're here.,1
899,testimony,,katie,aside,I never expected to get kissed on the first night. But it was really good. I feel like we have a good connection. So I am excited.,1
900,dialogue,,katie,colton,I have a really good feg about this whole thing.,1
901,dialogue,,colton,katie,Me too.,1
902,testimony,,devin,aside,It is pretty nerve‐racko not have time with him.,1
903,dialogue,,devin,onyeka,I'm just like worried as point. That I'm going to go home.,1
904,testimony,,angelique,aside,It's getting really late and a lot of women still havent talked to him yet.,1
905,dialogue,,???,???,Did you get your time?,1
906,dialogue,,???,???,I honestly don't know if we're going to.,1
907,testimony,,angelique,aside,Girls are freaking out.,1
908,dialogue,,erin,women,I'm really stressed.,1
909,testimony,,angelique,aside,Erin is freaking out rit now. She's walking around with e shoe. So ‐‐ that's one reason to freak out on its own. With one frickin' shoe.,1
910,dialogue,,onyeka,women,I'd be freaking out if I didn't have time with him tonight.,1
911,dialogue,,hannahb,women,"You know, I'm trying toe patient because there is at of us. But... Kind of freaking out too.",1
912,testimony,,hannahb,aside,"The first impression ros is out there. I'm sure he has already hae really good conversations. Of course, they are so many great girls. What if he was already like, hey, that was awesome? And then he hasn't talked to me yet. And I'm like, I might've been really cool too.",1
913,dialogue,,alexb,colton,I ran a dog rescue in Vancouver.,1
914,dialogue,,colton,alexb,That's awesome.,1
915,dialogue,,alexb,colton,My sister and I run it together.,1
916,dialogue,,colton,alexb,Okay.,1
917,dialogue,,hannahb,self,"Ugh, this is sucky.",1
918,testimony,,hannahb,aside,"I just want to talk to Colton. But it's like, okay, another girl. Another girl. Another girl. Dang it, she just got there.",1
919,dialogue,,erin,colton,It's been a long night.,1
920,dialogue,,colton,erin,Yeah.,1
921,dialogue,,erin,colton,And I did not turn into a pumpkin.,1
922,dialogue,,colton,erin,"Well, good.",1
923,testimony,,hannahb,aside,"I'm starting to spiral. I want time with him. I am just ready, ready, ready.",1
924,dialogue,,hannahb,colton,"So, first, I need to tell youu I'm just so glad you are the bachelor. I would not be here if you weren't. There's a million things I want to ask you.",1
925,dialogue,,colton,hannahb,Shoot. Go. Random question.,1
926,dialogue,,hannahb,colton,What is the scariest thing you've ever done?,1
927,dialogue,,colton,hannahb,I would say open up about who I am in front of a lot of people. But also the most rewarding and best thing ever because I'm so comfortable in my skin.,1
928,dialogue,,hannahb,colton,And that is probably one of the most attractive things about you.,1
929,dialogue,,colton,hannahb,Thank you. What is your greatest fear?,1
930,dialogue,,hannahb,colton,"Not ‐‐ like, not being enough in everything I do. I put a lot of pressure on myself to excel and it's something I totally struggle with and I'm, like, working on it and trying to be open about it.",1
931,dialogue,,colton,hannahb,"I've been there, too. I have questioned myself at about that too",1
932,dialogue,,hannahb,colton,"Yeah, I have to do self checks.",1
933,dialogue,,colton,hannahb,Yeah.,1
934,dialogue,,hannahb,colton,"So we are going to have an honest policy. We are going to do this and every time we talk, it's, like, super real talk.",1
935,dialogue,,hannahb,colton,Real talk.,1
936,dialogue,,colton,hannahb,"We'll both start with of these. You have to bite your thumb, though.",1
937,testimony,,hannahb,aside,I feel so much relief that I've made my presence known to him and I fully believe this is a connection made.,1
938,dialogue,,colton,hannahb,It was so good to talk with you.,1
939,dialogue,,hannahb,colton,Nice chatting with you.,1
940,testimony,,hannahb,aside,I'm hoping he wants to keep me around.,1
941,dialogue,,???,women,I don't know who's going to get that.,1
942,dialogue,,demi,women,"I would be really happy if did, but I think any of us can get it.",1
943,testimony,,caelynn,aside,I had a good time with Colton. I couldn't have asked for ###o be better. So I'd be very happy if I got that rose.,1
944,sound,laughs,,,,1
945,exclamation,,women,self,Oh...,1
946,dialogue,,???,women,"Oh, it's going to somebody.",1
947,dialogue,,???,women,There he goes.,1
948,dialogue,,jane,women,"If I was Colton, it would be, like, so hard for me to map my mind on who to give the rose to because there's so many of us.",1
949,dialogue,,women,colton,"Oh, hi!",1
950,dialogue,,colton,hannahg,"Hi. Hannah, may I borrow you?",1
951,dialogue,,hannahg,colton,Yes!,1
952,dialogue,,colton,hannahg,Come down this way.,1
953,dialogue,,???,women,Did he take someone?,1
954,dialogue,,???,women,Who was it?,1
955,dialogue,,???,women,The gold dress Hannah.,1
956,dialogue,,demi,women,Everyone's hearts are just crushing right now. We are all just sulking.,1
957,dialogue,,colton,hannahg,"So, from the beginning of the night, I put a lot of thought into the first impression. You reminded me a lot of ### when we sat and had our conversation. And while you were nervous I was, too.",1
958,dialogue,,hannahg,colton,"Still am a little bit. You are doing good, you're doing good.",1
959,dialogue,,colton,hannahg,"And you are, too.",1
960,dialogue,,hannahg,colton,"Okay, okay.",1
961,dialogue,,colton,hannahg,"And that's the best part. You sort of owned the nervousness, you owned your imperfections, and it was so nice and so refreshing to see and to hear. It's like, just so easy and so much fun and so enjoyable be around you. Your energy instantly lights me up. So, Hannah, will you acceps rose?",1
962,dialogue,,hannahg,colton,"Absolutely. This means seriously the world to me. This validates, like, everything.",1
963,testimony,,colton,aside,"There is definitely chemistry and a nice spark with Hannah honestly, I didn't want top kissing her tonight.",1
964,dialogue,,colton,hannahg,Thank you. You look so handsome.,1
965,dialogue,,hannahg,colton,You are so beautiful. Your eyes.,1
966,dialogue,,colton,hannahg,"Thank you. I had the best first night. So, yeah.",1
967,dialogue,,hannahg,colton,Glad to hear it.,1
968,testimony,,hannahg,aside,"I never, ever thought that I would be considered for this so the fact that he handed this to me, I was just like I haven't felt this quick any of these feelings ever. So the fact that my connection stood out to him, it is a dream come true. It really is.",1
969,sound,glass clinking,,,,1
970,dialogue,,chris,women,"Hey, hey.",1
971,sound,contestants exclaim,,,,1
972,dialogue,,women,chris,What's up?,1
973,dialogue,,chris,all,"I would ask how your night's going, but I don't want to ask. The smile on the face is giving it away. Sorry to break up the party but it is that time, about time of our first rose ceremony.",1
974,dialogue,,colton,women,"Well, I just want to say thank you to everybody. I know it was an extremely ###g night but you guys have exceeded all expectations and I really had my work cut out for me tonight. I have a tough decision and I will see you guys at the rose ceremony.",1
975,sound,"contestants exclaim ""bye!""",,,,1
976,testimony,,onyeka,aside,"I feel a little sick, honestly.",1
977,dialogue,,nicole,women,"Yeah, I guess I have worked all these weeks, I put everything on hold just to meet him. I just really hope he gives a second chance to prove him that we could have that connection, that spark.",1
978,dialogue,,erin,women,"I don't feel like I really got the time that I needed. And, you know, if I don't a rose, I will be sad. And I will be upset.",1
979,testimony,,cassie,aside,Girls are really upset now because Catherine got to talk to Colton four times and some girls barely got to to him at all.,1
980,testimony,,tahzjuan,aside,"If Catherine gets a rose tonight, it's going to drive everyone crazy. Everyone's going to lose their *bleep*.",1
981,dialogue,,chris,colton,"How are you doing, man?",1
982,dialogue,,colton,chris,I'm good.,1
983,dialogue,,chris,colton,Welcome to your first rose ceremony.,1
984,dialogue,,colton,chris,Yeah.,1
985,dialogue,,chris,colton,You had a good first night.,1
986,dialogue,,colton,chris,Had a great first night.,1
987,dialogue,,chris,colton,Did it go to expectations?,1
988,dialogue,,colton,chris,"This exceeded all my expectations. I was not expecting to develop feelings already, to have chemistry already. It's incredible.",1
989,dialogue,,chris,colton,"Night 1, the competition doesn't usually get heated. It already is.",1
990,dialogue,,colton,chris,"Yeah, yeah.",1
991,dialogue,,chris,colton,"We are all a little freaked out. A lot of us didn't get a ton of time with Colton tonight. Unfortunately, that's because Catherine stole him time and time and time again.",1
992,dialogue,,colton,chris,"I'm so nervous. I'm, like, feeling nauseous. I'm standing there shaking with my heart completely out of my chest. I would just be so upset if I went home tonight.",1
993,dialogue,,chris,colton,"You know what you are going to say, what you're going to do?",1
994,dialogue,,colton,chris,I do.,1
995,dialogue,,chris,colton,Okay. Do you feel good about it?,1
996,dialogue,,colton,chris,I feel good. I feel really good.,1
997,dialogue,,chris,colton,"All right, get in there. First rose ceremony. Good luck.",1
998,dialogue,,colton,chris,"Yes, sir.",1
999,dialogue,,???,women,"The quality of girls the in the room right now is, like, through the roof. I don't know how he's going to decide. It freaks me out.",1
1000,dialogue,,colton,women,You all look so beautiful.,1
1001,dialogue,,women,colton,Thank you.,1
1002,dialogue,,colton,caelynn,"Caelynn. Caelynn, will you accept this rose?",1
1003,dialogue,,caelynn,colton,Of course. Thank you.,1
1004,dialogue,,colton,katie,"Katie. Katie, will you accept this rose?",1
1005,dialogue,,katie,colton,Yes. Thank you.,1
1006,testimony,,devin,aside,Colton is a great match for me. I'm definitely not ready to home.,1
1007,dialogue,,colton,alexb,Alex B.,1
1008,testimony,,devin,aside,I feel like Colton could be someone that gives me what I deserve.,1
1009,dialogue,,colton,alexb,"Alex, will you accept this rose?",1
1010,dialogue,,alexb,colton,Yes.,1
1011,testimony,,devin,aside,I want to go all the way and see if Colton really is a person that I could fall in love with.,1
1012,dialogue,,colton,hannahb,"Hannah B. Hannah, will you accept ths rose?",1
1013,dialogue,,hannahb,colton,Yes. Thank you.,1
1014,dialogue,,colton,onyeka,"Onyeka. Onyeka, will you accept this rose?",1
1015,dialogue,,onyeka,colton,Yes.,1
1016,testimony,,angelique,aside,"I literally can feel my heart just pounding. It's like, ""boom, boom, boom""",1
1017,dialogue,,colton,caitlin,"Caitlin. Caitlin, will you accept ts rose?",1
1018,dialogue,,caitlin,colton,Absolutely.,1
1019,testimony,,angelique,aside,I hope that I get a rose tonight. It would seal the dream deal for me.,1
1020,dialogue,,colton,annie,Annie.,1
1021,testimony,,heather,aside,Girl after girl is getting their name called.,1
1022,dialogue,,colton,annie,"Annie, will you accept s rose?",1
1023,dialogue,,annie,colton,"Yes, of course.",1
1024,testimony,,heather,aside,I want a rose so frickin' badly tonight.,1
1025,dialogue,,colton,kirpa,Kirpa.,1
1026,testimony,,heather,aside,I'm freaking out.,1
1027,dialogue,,colton,kirpa,Will you accept this rose?,1
1028,dialogue,,kirpa,colton,"Yes, absolutely.",1
1029,testimony,,heather,aside,"If I went home tonight, I would be absolutely devasted.",1
1030,dialogue,,colton,heather,"Heather. Heather, will you accept ts rose?",1
1031,dialogue,,heather,colton,Absolutely. Thank you so much.,1
1032,dialogue,,colton,elyse,"Elyse. Elyse, will you accept this rose?",1
1033,dialogue,,elyse,colton,"Yes, thank you.",1
1034,dialogue,,colton,tayshia,Tayshia.,1
1035,testimony,,courtney,aside,"If the sloth gets a rose before me, I'm going to lose it.",1
1036,dialogue,,colton,tayshia,Will you accept this rose?,1
1037,dialogue,,tayshia,colton,Of course.,1
1038,testimony,,courtney,aside,"I am just praying, pray, praying that I walk away wa rose in my hand. Call my name. Say ""Courtney.""",1
1039,dialogue,,colton,courtney,"Courtney. Courtney, will you accept s rose?",1
1040,dialogue,,courtney,colton,"Yes, of course.",1
1041,dialogue,,colton,cassie,"Cassie. Cassie, will you accept this rose?",1
1042,dialogue,,colton,demi,"Demi. Demi, will you accept this?",1
1043,dialogue,,demi,colton,I will happily accept your rose,1
1044,sound,laughter,,,,1
1045,dialogue,,colton,nina,Nina.,1
1046,testimony,,tahzjuan,aside,I've already weeded out the girls I think are going too home tonight. And I have tried to steer clear of them.,1
1047,dialogue,,colton,erika,Erika.,1
1048,dialogue,,erika,colton,Yay!,1
1049,sound,laughter,,,,1
1050,dialogue,,colton,erika,"Erika, will you accept this rose?",1
1051,dialogue,,erika,colton,Of course. Thank you.,1
1052,testimony,,tahzjuan,aside,"If I was a human being I was looking for a wife, all the girls who are being drama right now, done. Axed. Call them a limo and put them all in there together. And send them off.",1
1053,dialogue,,colton,sydney,"Sydney. Sydney, will you accept this rose?",1
1054,dialogue,,sydney,colton,Absolutely. Thank you.,1
1055,testimony,,nicole,aside,"That's one more rose that he is giving away. I honestly feel like I could be going home tonight because Catherine talked to him four times and took time away from all of us. Like, who does that?",1
1056,dialogue,,colton,bri,"Bri. Bri, will you accept this rose?",1
1057,dialogue,,bri,colton,Yes. Of course. Thank you.,1
1058,dialogue,,colton,angelique,"Angelique. Angelique, will you accepts rose?",1
1059,dialogue,,angelique,colton,"Yes, I will. Oh, my gosh.",1
1060,testimony,,catherine,aside,Everyone is freaking out. I'm not sweating it. I had some good conversation. I think this is just the beginning of our journey together.,1
1061,dialogue,,colton,tracy,Tracy.,1
1062,testimony,,catherine,aside,I'm not worried about it. I'm not going anywhere.,1
1063,dialogue,,colton,tracy,"Tracy, will you accept s rose?",1
1064,dialogue,,tracy,colton,Absolutely.,1
1065,testimony,,devin,aside,I'd be very upset if I go home tonight.,1
1066,dialogue,,colton,nicole,Nicole.,1
1067,testimony,,devin,aside,Catherine pulled Colton at least three times.,1
1068,dialogue,,colton,nicole,"Nicole, will you accepts rose?",1
1069,dialogue,,nicole,colton,Of course.,1
1070,testimony,,devin,aside,I am terrified that Catherine will get the final rose.,1
1071,dialogue,,chris,all,"Ladies, Colton, this is the final rose tonight. When you are ready.",1
1072,dialogue,,chris,catherine,"Catherine. Catherine, will you accepts rose?",1
1073,dialogue,,catherine,colton,Yes.,1
1074,dialogue,,chris,women,"Ladies, I am sorry. You did not receive a rose. Take a moment, say your goodbyes.",1
1075,dialogue,,???,women,"Bye. Bye, boo. So nice meeting you. It was nice meeting you. Nice meeting you, too.",1
1076,testimony,,tahzjuan,aside,"Are you kidding me? Are you kidding me? Obviously with some of the girls tonight, I think he definitely made a mistake. I saw every single one of these people in my head earlier going home. So it doesn't make sense to me. I think I was taken out of this equation way too early.",1
1077,dialogue,,???,women,It was nice meeting you. It was very nice meeting you.,1
1078,testimony,,erin,aside,I had my horse and carriage and I thought I was going to get my fairy tale ending. But that did not happen. So I am really upset because I really thought Colton was my prince charming.,1
1079,dialogue,,devin,women,Thank you for everything. It was so nice meeting you. Good luck. Have a great time.,1
1080,dialogue,,colton,devin,Thank you. You too.,1
1081,testimony,,devin,aside,"It's hard when you know that you haven't made the impression you thought you did or wanted to. And you walk out of it not feeling your best. But on my end, I thought that he was some connection and there could have been potential there. But in the end, it wasn't enough.",1
1082,dialogue,,colton,women,To all of you lovely ladies!,1
1083,sound,contestants exclaim,,,,1
1084,testimony,,devin,aside,"I don't know, I think it want to be okay. I want to be past it. And be okay with it. But it's hard, it's hard to get rejected.",1
1085,exclamation,,women,self,"Guys, welcome home. Whoo! Yes! Yay! This is amazing.",1
