line,type,context,talking,talking_to,words,episode
496,dialogue,,colton,demi,Okay. So you're not afraid to get dirty?,1
497,dialogue,,demi,colton,"Oh, no. Definitely not. I know I look so pretty but",1
498,dialogue,,colton,demi,"You have very pretty eyes, too.",1
499,dialogue,,demi,colton,You are so cute.,1
500,dialogue,,colton,demi,"Thanks, you, too. You are looking good.",1
501,dialogue,,demi,colton,"Oh, thank you.",1
502,testimony,,demi,aside,I definitely feel like Colton's attracted to me. I could tell by the way he complimented my eyes and my dress. I could see it in his eyes that he's got got a little crush on me.,1
503,dialogue,,demi,colton,You are a total stud and very excited to get to be here with you.,1
504,dialogue,,colton,demi,Thanks.,1
505,dialogue,,erika,women,"I just want to know why he's a virgin. Like, are you saving it for marriage? Like, what's going on?",1
506,dialogue,,???,erika,Would it have bothered you whether he answered a certain way?,1
507,dialogue,,onyeka,women,At least he's a cute virgin.,1
508,dialogue,,erika,women,"Yeah, but he is so cute. This is so weird because you're so attractive.",1
509,sound,laughs,,,,1
510,testimony,,erika,aside,That's just so weird. Like that just doesn't happen nowadays.,1
511,dialogue,,erika,colton,It's nice to finally talk to you.,1
512,testimony,,erika,aside,"For me, personally, sex in a relationship is very important, and Colton is a very handsome guy. It was definitely lust at first sight, so I want to hear from him. Why?",1
513,dialogue,,erika,colton,So fun night.,1
514,dialogue,,colton,erika,Yeah.,1
515,dialogue,,erika,colton,"This is a lot for you, I'm sure. Do you remember my name?",1
516,dialogue,,colton,erika,No. Help me out.,1
517,dialogue,,erika,colton,The nuts.,1
518,dialogue,,colton,erika,"Oh, McNutt.",1
519,dialogue,,erika,colton,McNutt! yes.,1
520,dialogue,,colton,erika,That's not your name. Your last name.,1
521,dialogue,,erika,colton,"But, like, I am McNutt. Yeah, Erika.",1
522,dialogue,,colton,erika,Erika.,1
523,dialogue,,erika,colton,"Erika McNutt, yeah. See, the nuts work. So I'm just going to straight up ask this.",1
524,dialogue,,colton,erika,Yes.,1
525,dialogue,,erika,colton,Everyone knows you're a virgin. So I want to know why.,1
526,dialogue,,colton,erika,"For me, growing up, it s sort of a conscious decision at first. And then I started really diving deep into my professional career, and my personal life took a backseat.",1
527,dialogue,,erika,colton,Okay.,1
528,dialogue,,colton,erika,"And now that it's happened, I'm not just going to randomly lose it on a one night sta. It's not like I'm waiting for marriage, I'm waiting for the right person. I'm waiting for the right moment.",1
529,dialogue,,erika,colton,"Okay, okay.",1
530,dialogue,,colton,erika,Which is very important to me. And I hold a lot of value a lot of stock into it.,1
531,dialogue,,erika,colton,It's special. You should keep it special.,1
532,dialogue,,colton,erika,For sure.,1
533,dialogue,,erika,colton,You know?,1
534,dialogue,,colton,erika,For sure.,1
535,testimony,,colton,aside,My first night as the bachelor is so surreal.,1
536,dialogue,,kirpa,colton,"Your speech earlier was really, like, I think it just calmed everyone down. Like ‐‐",1
537,dialogue,,colton,kirpa,I wish it would've calmed me down a little bit. I was a little nervous.,1
538,testimony,,colton,aside,There are 30 women here and they are all absolutely gorgeous. I am bouncing from conversation to conversation and trying to keep up with them.,1
539,dialogue,,colton,laura,"Laura, right?",1
540,dialogue,,laura,colton,Yeah.,1
541,dialogue,,colton,laura,Laura?,1
542,dialogue,,laura,colton,Yeah.,1
543,dialogue,,colton,laura,I'm working on it.,1
544,dialogue,,laura,colton,I can't even imagine how you are doing it.,1
545,dialogue,,colton,laura,I'm trying. I'm trying my hardest.,1
546,testimony,,colton,aside,I've never been in a situation like this before.,1
547,dialogue,,hannahg,colton,How was your night goin?,1
548,dialogue,,colton,hannahg,Good. It's ‐‐ little bit nervous.,1
549,sound,laughter,,,,1
550,testimony,,colton,aside,I'm dating six times the amount of women that I've dated in my whole entire life in one night. So I'm a little overwhelmey all of this.,1
551,dialogue,,hannahg,colton,"Okay, so I was wonderin. You used to do football and stuff.",1
552,dialogue,,colton,hannahg,Yes.,1
553,dialogue,,hannahg,colton,"Was it more nerve‐racking hearing that you were going to be the bachelor or, like, playing NFL football games?",1
554,dialogue,,colton,hannahg,"It was actually really similar. It's actually the pregame jitters, all the anticipation to, like, start it off.",1
555,dialogue,,hannahg,colton,"Yeah, I almost died getting out of the limo. I almost died.",1
556,dialogue,,colton,hannahg,"You didn't look nervous, though. You killed it. You really did.",1
557,dialogue,,hannahg,colton,"You had so many people. I was like, I'm not going to even be able to, like, stand out at all.",1
558,dialogue,,colton,hannahg,"No, but yours definitely stood out.",1
559,dialogue,,hannahg,colton,"Okay, okay. That was my biggest fear coming into this because I'm not usually somebody who is tht",1
560,dialogue,,colton,hannahg,"Well, you are doing a gd job. You really are.",1
561,dialogue,,hannahg,colton,"Okay, well, my heart is beating out of my chest.",1
562,dialogue,,colton,hannahg,"Here. Here's what me and my mom do. When we are nervous, we take three deep breaths. Are you ready? One, two, three. One.",1
563,dialogue,,hannahg,colton,"Okay, that was good.",1
564,dialogue,,colton,hannahg,Two.,1
565,dialogue,,hannahg,colton,Okay.,1
566,dialogue,,colton,hannahg,Three.,1
567,dialogue,,hannahg,colton,Okay.,1
568,dialogue,,colton,hannahg,Is your heart beating a little slower?,1
569,dialogue,,hannahg,colton,"Actually, yes. I swear, it actually is. You are so cute. You are so cute.",1
570,testimony,,hannahg,aside,"Before I talked to Colton I was really nervous, and I d tell he was, too. But he just made me feel so comfortable.",1
571,dialogue,,colton,hannahg,Awesome chatting with you.,1
572,testimony,,hannahg,aside,Colton is definitely somebody I could fall for. So I'm excited.,1
573,dialogue,,jane,women,Has Colton kissed anyone tonight?,1
574,dialogue,,angelique,women,"I mean, I'm sure every girl here wants to.",1
575,dialogue,,???,women,I guess it would depend on that person's conversation.,1
576,dialogue,,???,women,And how he's feeling.,1
577,dialogue,,colton,caelynn,It's been good. How's yours?,1
578,dialogue,,caelynn,colton,Super awesome.,1
579,dialogue,,colton,caelynn,"So you said Miss Carolina, right?",1
580,dialogue,,caelynn,colton,North Carolina. Yeah.,1
581,dialogue,,colton,caelynn,Is that where you consider home?,1
582,dialogue,,caelynn,colton,I'm from Virginia originally but I moved to North Carolina about a year ago. I love North Carolina. But I love to travel more than anything.,1
583,dialogue,,colton,caelynn,So where's your favorite place you've been?,1
584,dialogue,,caelynn,colton,"I love Phuket, Thailand. I got dumped in Thailand, though. So, bittersweet.",1
